step 0: train loss 10.6895, val loss 10.6778 
iter 99: loss 5.2601, time 4098.09ms, mfu 22.84%  
iter 100: loss 5.0363, time 5788.81ms, mfu 22.32%  
iter 101: loss 5.0089, time 3613.26ms, mfu 22.91%  
iter 102: loss 5.3980, time 3866.63ms, mfu 23.26%  
iter 103: loss 5.3729, time 7307.28ms, mfu 22.33%  
iter 104: loss 5.2107, time 8334.83ms, mfu 21.33%  
iter 105: loss 4.5748, time 7876.80ms, mfu 20.49%  
iter 106: loss 5.1719, time 6241.23ms, mfu 20.08%  
iter 107: loss 4.6506, time 8277.12ms, mfu 19.30%  
iter 108: loss 5.0378, time 6930.10ms, mfu 18.84%  
iter 109: loss 4.9630, time 6579.07ms, mfu 18.51%  
iter 110: loss 5.3829, time 8044.37ms, mfu 17.93%  
iter 111: loss 4.9929, time 5952.54ms, mfu 17.85%  
iter 112: loss 4.6836, time 6212.09ms, mfu 17.71%  
iter 113: loss 4.7864, time 7797.58ms, mfu 17.25%  
iter 114: loss 4.8598, time 7464.20ms, mfu 16.89%  
iter 115: loss 4.8148, time 6960.38ms, mfu 16.67%  
iter 116: loss 4.4637, time 6405.23ms, mfu 16.60%  
iter 117: loss 4.6285, time 6129.05ms, mfu 16.60%  
iter 118: loss 4.7378, time 6132.89ms, mfu 16.61%  
iter 119: loss 5.0376, time 6514.84ms, mfu 16.51%  
iter 120: loss 4.3479, time 7691.23ms, mfu 16.19%  
iter 121: loss 5.1746, time 6240.37ms, mfu 16.21%  
iter 122: loss 4.8683, time 9862.95ms, mfu 15.62%  
iter 123: loss 4.6315, time 9487.10ms, mfu 15.13%  
iter 124: loss 4.4756, time 10260.50ms, mfu 14.62%  
iter 125: loss 4.5918, time 9954.09ms, mfu 14.18%  
iter 126: loss 5.3582, time 9782.95ms, mfu 13.81%  
iter 127: loss 4.5128, time 8304.87ms, mfu 13.65%  
iter 128: loss 4.8356, time 5965.63ms, mfu 14.00%  
iter 129: loss 4.5037, time 6344.81ms, mfu 14.21%  
iter 130: loss 4.5601, time 6449.73ms, mfu 14.37%  
iter 131: loss 4.1333, time 7608.35ms, mfu 14.28%  
iter 132: loss 4.3736, time 7103.90ms, mfu 14.28%  
iter 133: loss 4.3402, time 10499.41ms, mfu 13.83%  
iter 134: loss 4.0940, time 8988.12ms, mfu 13.58%  
iter 135: loss 4.0692, time 9014.20ms, mfu 13.36%  
iter 136: loss 4.6692, time 6682.02ms, mfu 13.55%  
iter 137: loss 4.7668, time 6785.49ms, mfu 13.70%  
iter 138: loss 4.0203, time 10872.90ms, mfu 13.27%  
iter 139: loss 3.9395, time 7513.63ms, mfu 13.30%  
iter 140: loss 4.5988, time 7963.54ms, mfu 13.25%  
iter 141: loss 4.2942, time 6059.48ms, mfu 13.61%  
iter 142: loss 4.6715, time 8928.98ms, mfu 13.39%  
iter 143: loss 4.3186, time 6694.49ms, mfu 13.58%  
iter 144: loss 4.3962, time 10435.06ms, mfu 13.20%  
iter 145: loss 4.1947, time 9316.55ms, mfu 12.97%  
iter 146: loss 3.9562, time 13060.45ms, mfu 12.46%  
iter 147: loss 3.7134, time 7126.44ms, mfu 12.65%  
